groupId,artifactId,version,licence,URL showing licence
org.apache.camel,Camel-stream,2.5.0,Apache 2.0 licence,http://camel.apache.org/what-is-the-license.html,,,likely licences e.g.:
Org.apache.camel,Camel-core,2.5.0,Apache 2.0 licence,http://camel.apache.org/maven/camel-2.2.0/camel-core/license.html,,,LGPL 2.1
org.fusesource.commonman,Commons-management,1.0,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.fusesource.commonman/commons-management/1.0,,,Apache v2
commons-logging,Commons-logging-api,1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.apache.camel,camel-groovy ,2.5.0,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.apache.camel/camel-groovy/2.7.2
org.apache.camel,Camel-spring,2.5.0,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.apache.camel/camel-spring/2.5.0
org.springframework,Spring-tx,3.0.4.
org.springframework,spring-context ,3.0.4.,Apache 2.0 licence,http://www.jarvana.com/jarvana/inspect-pom/org/springframework/spring-context/2.5.6/spring-context-2.5.6.pom
org.springframework,Spring-expression,3.0.4.,Apache 2.0 licence ,http://javasourcecode.org/html/open-source/spring/spring-3.0.4/org/springframework/expression/spel/SpelMessage.java.html
org.springframework,Spring-core,3.0.4.,Apache 2.0 licence,http://www.springsource.org/about
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
commons-logging,Commons-logging-api,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,Spring-aop,3.0.4.,Apache 2.0 licence,http://i2.grepcode.com/file/repo1.maven.org/maven2/org.springframework/spring-aop/3.0.4.RELEASE/org/springframework/aop/ProxyMethodInvocation.java/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,Spring-core,3.0.4.,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence ,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
aopalliance,aopalliance ,1.0,Public Domain,http://aopalliance.sourceforge.net/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
commons-logging ,Commons-logging,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,Spring-core,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,Spring-asm,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
org.springframework,spring-aop ,3.0.4.,Apache 2.0 licence,http://i2.grepcode.com/file/repo1.maven.org/maven2/org.springframework/spring-aop/3.0.4.RELEASE/org/springframework/aop/ProxyMethodInvocation.java/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
aopalliance,aopalliance ,1.0,Public Domain,http://aopalliance.sourceforge.net/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
aopalliance,aopalliance ,1.0,Public Domain,http://aopalliance.sourceforge.net/
org.apache.camel,camel-core ,2.5.0,Apache 2.0 licence,http://camel.apache.org/maven/camel-2.2.0/camel-core/license.html
org.fusesource.commonman,commons-management ,1.0,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.fusesource.commonman/commons-management/1.0
Commons-logging ,commons-logging-api ,1.1,Apache 2.0 licence,http://tiles.apache.org/2.0/framework/tiles-api/license.html
org.springframework,spring-context ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
org.springframework,spring-expression ,3.0.4.,Apache 2.0 licence,http://javasourcecode.org/html/open-source/spring/spring-3.0.4/org/springframework/expression/spel/SpelMessage.java.html
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
Commons-logging,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-aop ,3.0.4.,Apache 2.0 licence,http://i2.grepcode.com/file/repo1.maven.org/maven2/org.springframework/spring-aop/3.0.4.RELEASE/org/springframework/aop/ProxyMethodInvocation.java/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-taglibs/3.0.4.RELEASE
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
Commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
aopalliance,aopalliance ,1.0,Public Domain,http://aopalliance.sourceforge.net/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-taglibs/3.0.4.RELEASE
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,Spring-asm,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
Commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
Commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
org.springframework,spring-aop ,3.0.4.,Apache 2.0 licence,http://i2.grepcode.com/file/repo1.maven.org/maven2/org.springframework/spring-aop/3.0.4.RELEASE/org/springframework/aop/ProxyMethodInvocation.java/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-taglibs/3.0.4.RELEASE
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
Commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
aopalliance,aopalliance ,1.0,Public Domain,http://aopalliance.sourceforge.net/
org.apache.camel,camel-core ,2.5.0,Apache 2.0 licence,http://camel.apache.org/maven/camel-2.2.0/camel-core/license.html
org.fusesource.commonman,commons-management ,1.0,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.fusesource.commonman/commons-management/1.0
Commons-logging ,commons-logging-api ,1.1,Apache 2.0 licence,http://tiles.apache.org/2.0/framework/tiles-api/license.html
org.hibernate,hibernate-ehcache ,3.3.1.GA,GNU Lesser General Public License,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.hibernate/hibernate-ehcache/3.3.1.GA
dom4j ,dom4j ,1.6.1
antlr,antlr ,2.7.6
javassist,javassist ,3.11.0.GA
org.hibernate,hibernate-validator ,3.1.0.GA,GNU Lesser General Public License,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.hibernate/hibernate-validator/3.1.0.GA
net.sourceforge.cobertura,cobertura ,1.9.4.1,Apache 1.1 license & GNU General Public License,http://cobertura.sourceforge.net/license.html
org.apache.ant ,ant ,1.7.0,Apache 2.0 licence,http://www.apache.org/licenses/LICENSE-2.0.html
org.apache.ant ,ant-launcher ,1.7.0,GNU LESSER GENERAL PUBLIC LICENSE,http://checkstyle.sourceforge.net/dependencies.html
asm,asm-tree ,3.0
asm ,asm ,3.0
oro ,oro ,2.0.8,Apache 2.0 licence,http://svn.apache.org/repos/asf/jakarta/oro/trunk/LICENSE
log4j ,log4j,1.2.16,Apache 2.0 licence,http://logging.apache.org/log4j/1.2/license.html
log4j ,log4j ,1.2.9,Apache 1.1 license,http://source.appfuse.org/browse/appfuse/trunk/lib/jakarta-log4j-1.2.9/LICENSE.txt?r=923
asm,asm ,3.0,Apache 2.0 licence,http://static.springsource.org/spring-ldap/site/license.html
xpp3 ,xpp3_min ,1.1.3.4.O,"Apache 2.0 licence, GNU GENERAL PUBLIC LICENSE",http://www.jcurl.org/m2/site/jc-xsio/0.7-SNAPSHOT/dependencies.html
apache-taglibs,standard ,1.1.2,Apache 2.0 licence,http://jakarta.apache.org/taglibs/doc/standard-doc/ReleaseNotes.html
org.slf4j ,slf4j-log4j12 ,1.5.8,"Apache license, GNU GPL, MIT LICENSE.",http://www.slf4j.org/license.html
org.slf4j ,jul-to-slf4j ,1.5.8,MIT LICENSE,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.slf4j/jul-to-slf4j/1.6.1
org.slf4j ,jcl-over-slf4j ,1.5.8,MIT LICENSE,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.slf4j/jcl-over-slf4j/1.5.11
net.sf.ehcache,ehcache-core ,1.7.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/net.sf.ehcache/ehcache-core/1.7.1
commons-pool ,commons-pool ,1.5.5,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-pool/commons-pool/1.5.5
commons-dbcp,commons-dbcp ,1.3,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-dbcp/commons-dbcp/1.3
javax.servlet,jstl ,1.1.2,Apache 2.0 licence,http://www.jarvana.com/jarvana/inspect-pom/org/hdiv/hdiv-jstl-taglibs-1.1.2/2.0.3/hdiv-jstl-taglibs-1.1.2-2.0.3.pom
oro,oro ,2.0.8,Apache license,http://www.jpackage.org/browser/rpm.php?jppversion=5.0-updates&id=8560
commons-fileupload,commons-fileupload ,1.2.1,Apache 2.0 licence,http://olex.openlogic.com/packages/commons-fileupload/1.2.1
org.aspectj,aspectjrt ,1.6.8,Public License,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.aspectj/aspectjrt/1.6.8
org.hibernate,Hibernate-annotations,3.4.0.GA,Lesser General Public License,http://olex.openlogic.com/packages/hibernate-annotations/3.4.0.GA
org.hibernate,Hibernate-commons-annotations,3.1.0.GA,Lesser General Public License,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.hibernate/hibernate-commons-annotations/3.1.0.GA
org.hibernate,hibernate-core ,3.3.1.GA ,Lesser General Public License,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.hibernate/hibernate-core/3.3.1.GA
net.frontlinesms.core,at-modem-detector ,0.1- SNAPSHOT
javax.comm,comm ,2.0.3
org.rxtx ,rxtx,2.1.7,GNU Lesser General Public Licence,http://on.cs.unibas.ch/osiris-se/dependencies.html
net.frontlinesms.core ,serial,1.0.1- SNAPSHOT,Apache 2.0 licence,http://openjpa.apache.org/license.html
log4j ,log4j ,1.2.16,Apache 2.0 licence,http://logging.apache.org/log4j/1.2/license.html
log4j ,log4j ,1.2.15,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/log4j/log4j/1.2.15
log4j ,log4j ,1.2.16,Apache 2.0 licence,http://logging.apache.org/log4j/1.2/license.html
log4j ,log4j ,1.2.15,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/log4j/log4j/1.2.15
net.frontlinesms,frontlinesms-test ,0.01.01,GNU Lesser General Public Licence,https://github.com/alxndrsn/frontlinesms-plugin-httptrigger/blob/master/pom.xml.releaseBackup
log4j ,log4j ,1.2.16,Apache 2.0 licence,http://logging.apache.org/log4j/1.2/license.html
log4j ,log4j ,1.2.15,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/log4j/log4j/1.2.15
org.springframework,spring-context ,3.0.4.,"Common Public License Version 1.0,Public Domain,Apache 2.0 licence",http://grepo.codehaus.org/grepo-core/dependencies.html
org.springframework,spring-expression ,3.0.4.,"Public Domain,Apache 2.0 licence,LGPL 2.1",http://brutos.sourceforge.net/dependencies.html
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
Commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-aop ,3.0.4.,Apache 2.0 licence,http://i2.grepcode.com/file/repo1.maven.org/maven2/org.springframework/spring-aop/3.0.4.RELEASE/org/springframework/aop/ProxyMethodInvocation.java/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-taglibs/3.0.4.RELEASE
